title_kaggle,imdb_id,poster_path,wiki_link,original_title,is_adult,runtime,genres,imdb_rating,imdb_votes,story_kaggle,summary_kaggle,tagline_kaggle,actors,wins_nominations,release_date,year_of_release_int,clean_original_title,clean_title_kaggle,lifetime_collection_matched
Chittagong (film),tt1785333,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Chittagongposter.jpg/220px-Chittagongposter.jpg,https://en.wikipedia.org/wiki/Chittagong_(film),Chittagong,0,105,Action|Drama|War,7.2,1334.0,Set in the turbulence of the 1930s British India  a 14 year old boy  Jhunku  and his journey to find where he belongs. For the first time in Indian history  the British army is defeated by a ragtag army of schoolboys and their teacher  Masterda. Called a traitor by his peers  and let down by a man he trusts  Jhunku impulsively joins the movement. As his world is turned upside down  Jhunku is forced to confront his self-doubts. As the leaders of the movement are progressively caught or killed  Jhunku battles against seemingly insurmountable odds to win a victory of his own. The film is an exciting action-drama  made more so by the fact that it is true.,School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later  one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.,Ordinary Boys| Extraordinary Triumph,Manoj Bajpayee|Barry John|Delzad Hiwale|Vega Tamotia|Nawazuddin Siddiqui|Rajkummar Rao|Jaideep Ahlawat|Vijay Varma|Dibyendu Bhattacharya|Vishal Vijay|Alexx O'Nell|Anurag Arora|Sauraseni Maitra|Chaiti Ghosh|,4 wins,12 October 2012 (India),2012,chittagong,chittagong,0.19 Cr
Phata Poster Nikhla Hero,tt2615584,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Phata_Poster_Nikhla_Hero_Official_poster.jpg/220px-Phata_Poster_Nikhla_Hero_Official_poster.jpg,https://en.wikipedia.org/wiki/Phata_Poster_Nikla_Hero,Phata Poster Nikhla Hero,0,146,Action|Comedy,4.8,3965.0,After Vishwas Rao (Shahid Kapoor) is raised by his Mother (Padmini Kolhapure)  who apparently dreams of him becoming a Police Inspector. However  he has different plans in mind. Vishwas wants to become a film star. In Mumbai  after helping out a social-worker  Kajal (Ileana D'Cruz)  whilst dressed as an Police Inspector for a photo shoot  she mistakes him as an Inspector  and he eventually plays along. Suddenly her mother arrives in Mumbai. How will Vishwas get rid of his troubles?,Vishwas Rao is raised by his mother who wants him to become a police officer while he wants to become an actor.,,Shahid Kapoor|Ileana D'Cruz|Padmini Kolhapure|Mukesh Tiwari|Darshan Jariwala|Saurabh Shukla|Zakir Hussain|Sanjay Mishra|Shiva Natrajan|Rana Jung Bahadur|Prateek|Ishtiyaq|Vishwanath|,3 nominations,20 September 2013 (India),2013,phata poster nikhla hero,phata poster nikhla hero,36.53 Cr
Ab Tak Chhappan 2,tt2202086,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Ab_Tak_Chhappan_2_Official_Poster.jpg/220px-Ab_Tak_Chhappan_2_Official_Poster.jpg,https://en.wikipedia.org/wiki/Ab_Tak_Chhappan_2,Ab Tak Chhappan 2,0,106,Action|Crime|Thriller,5.8,1194.0,Home Minister Janardhan Jagirdarand chief Minister Anna Saheb are much concerned over the criminal activities of underworld dons Rawal and Rauf Lala. Rawal is operating from Bangkok while Rauf supervises his gang from Mumbai. The famous Encounter Squad is activated to counter the gangsters and restore peace in the area. The formidable Sadhu Agashe (Nana Patekar) is requested to take charge of the peace-keeping mission. At first he is reluctant but after continuous insistence  he agrees to launch a counter attack against Rawal and Lala Rauf gangs and the action begins.,Home Minister Janardhan Jagirdarand chief Minister Anna Saheb are much concerned over the criminal activities of underworld dons Rawal and Rauf Lala. Rawal is operating from Bangkok while ...,,Nana Patekar|Mohan Agashe|Gul Panag|Ashutosh Rana|Raj Zutshi|Govind Namdeo|Vikram Gokhale|Bobby Bedi|Jagat Rawat|,,27 February 2015 (India),2015,ab tak chhappan 2,ab tak chhappan 2,6.64 Cr
F.A.L.T.U,tt1667076,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/F.A.L.T.U.jpg/220px-F.A.L.T.U.jpg,https://en.wikipedia.org/wiki/F.A.L.T.U,F.A.L.T.U,0,120,Comedy|Drama,4.6,2758.0,After barely making it through their Secondary School Certificate examinations  Ritesh Virani  whose father is a Kabadia  is unable to get admission in any college. He is not the only one though  his pals Pooja Nigam and Nanj Nair are also in the same leaky boat. They attempt in vain to secure admission through the father of their scholarly pal  Vishnu Vardhan. Then Ritesh's father decides to fire his hired help and get his son to do the work  and Pooja's dad decides to get her married  the desperate friends get together and concoct a fake college 'Fakirchand And Lakirchand Trust University'  with the help of their money-lender friend  Google Chand. They recruit school-teacher  Baaji Rao  as Principal  whose performance is unacceptable by his school principal due to lewd references to 'Munni's Badnami' and 'Sheila's Jawani'. Google Chand offers them a derelict mansion in Panchgani  which they must renovate  invite their respective parents and show them that they have finally been ...,Unable to get accepted  four academically-challenged students decide to open their own college.,,Arshad Warsi|Riteish Deshmukh|Jackky Bhagnani|Puja Gupta|Chandan Roy Sanyal|Angad Bedi|Akbar Khan|Darshan Jariwala|Vijay Kashyap|Mahesh Thakur|Rameshwari|Boman Irani|,,1 April 2011 (India),2011,faltu,faltu,24.57 Cr
Bajirao Mastani,tt3735246,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Bajirao_Mastani_poster.jpg/220px-Bajirao_Mastani_poster.jpg,https://en.wikipedia.org/wiki/Bajirao_Mastani,Bajirao Mastani,0,158,Action|Drama|History,7.2,29141.0,"Bajirao 1  who fought over 41 major battles and many others  was reputed never to have lost a single one of them. Bajirao is described as ""RANMARD"" a man made of and for the battlefield. Bajirao said to his brother ""Remember that night has nothing to do with sleep. It was created by God  to raid territory held by your enemy. The night is your shield  your screen against the cannons and swords of vastly superior enemy forces. "" A born cavalry leader Bajirao was unequaled for the daring and originality of his genius. Mastani  the fabled warrior princess was the daughter of Raja Chattrasal and his Persian wife Roohani Begum. An expert dancer  singer and warrior  Mastani is sent to battle at the head of the Bundelkhand army. A chance meeting on a war field where they fight on the same side  puts Bajirao and Mastani on a course of passionate love- that is unstoppable by either of their families  by war or by death itself.",An account of the romance between the Maratha general  Baji Rao I and Mastani  princess of Bundelkhand.,,Ranveer Singh|Deepika Padukone|Priyanka Chopra|Tanvi Azmi|Mahesh Manjrekar|Raza Murad|Aditya Pancholi|Milind Soman|Vaibhav Tatwawaadi|Yatin Karyekar|Benjamin Gilani|Zila Khan|Ganesh Yadav|Sukhada Khandkekar|,53 wins & 20 nominations,18 December 2015 (USA),2015,bajirao mastani,bajirao mastani,184.2 Cr
Gollu Aur Pappu,tt4219300,,https://en.wikipedia.org/wiki/Gollu_Aur_Pappu,Gollu aur Pappu,0,112,Comedy,4.5,82.0,Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.,Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.,,Dimple Kapadia|Deepak Tijori|Kunaal Roy Kapur|Vir Das|Karishma Tanna|Sandeepa Dhar|Vrajesh Hirjee|Amit Behl|Avtar Gill|Anisha Kapoor|Ishika Gagneja|Karron Mallik|Neville Dadachanji|Sparsh Sharma|,,21 November 2014 (India),2014,gollu aur pappu,gollu aur pappu,0.01 Cr
Tanu Weds Manu: Returns,tt2140465,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Tanu_weds_Manu_poster.jpg/220px-Tanu_weds_Manu_poster.jpg,https://en.wikipedia.org/wiki/Tanu_Weds_Manu:_Returns,Tanu Weds Manu Returns,0,128,Comedy|Drama|Romance,7.7,24338.0,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,,Kangana Ranaut|Madhavan|Jimmy Sheirgill|Swara Bhaskar|Rajesh Sharma|Mohammed Zeeshan Ayyub|Eijaz Khan|Deepak Dobriyal|Manu Rishi Chadha|Raj Awasti|Gaurav Mishra|Aakash Dahiya|Alex Jaep|,11 wins & 15 nominations,22 May 2015 (USA),2015,tanu weds manu returns,tanu weds manu returns,150.8 Cr
Ungli,tt2392447,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Ungli_2.jpeg/220px-Ungli_2.jpeg,https://en.wikipedia.org/wiki/Ungli,Ungli,0,114,Crime|Drama|Thriller,5.7,3208.0,"Four friends Kalim (Angad Bedi)  Gautam (Neil Bhoopalam)  Maya (Kangana Ranaut) and Abhay (Randeep Hooda) form a gang called the ""Ungli"" gang which fights against corruption prevailing in society. Their job is to target corrupt people and punish them in a very unique manner. Due to increased popularity and their high profile targets they are sought by Mumbai police department as ""wanted"". Their case is the responsibility of ACP Ashok Kale (Sanjay Dutt) and inspector Nikhil Abhyankar (Emraan Hashmi). Nikhil disguises himself as a college student and joins the ungli gang with hidden motive of arresting them. But soon  his heart changes after learning the story of why ungli gang waw formed. Meanwhile  Kaale is compelled to seek help from the gang when Nikhil helps him expose the gang's greatest target  B.R. Dayal (Mahesh Manjrekar) and his son Anshuman. Kaale instigates a sting operation against the Mumbai police and is successful in preventing his transfer. Kaale thanks the ""Ungli"" gang...",A gang of friends decide to take justice into their own hands.,,Emraan Hashmi|Kangana Ranaut|Sanjay Dutt|Randeep Hooda|Neha Dhupia|Angad Bedi|Kader Khan|Arunoday Singh|,1 win,5 December 2014 (USA),2014,ungli,ungli,19.47 Cr
Queen (2014 film),tt3322420,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/QueenMoviePoster7thMarch.jpg/220px-QueenMoviePoster7thMarch.jpg,https://en.wikipedia.org/wiki/Queen_(2014_film),Queen,0,146,Comedy|Drama,8.2,56406.0,Queen is a movie about growing up. Rani (Kangana Ranaut) is a Delhi girl from a conservative family who is ditched by her fiancé just before her wedding. Shocked by this  she decides to set out on the planned honeymoon alone. As she travels the world and meets new people  she gains new experiences and discovers her own identity.,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Everything in life happens for the good.,Kangana Ranaut|Rajkummar Rao|Lisa Haydon|Jeffrey Ho|Marco Canadea|Guithob Joseph|Yogendra Tiku|Alka Badola Kaushal|Tripta Lakhanpal|Chinmay Chandraunshuh|Nayani Dixit|Sabeeka Imam|Ayaan Malik|Ramesh Kalra|,21 wins & 14 nominations,7 March 2014 (India),2013,queen,queen,61 Cr
Parmanu: The Story of Pokhran,tt6826438,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Parmanu_film_poster.jpeg/220px-Parmanu_film_poster.jpeg,https://en.wikipedia.org/wiki/Parmanu:_The_Story_Of_Pokhran,Parmanu: The Story of Pokhran,0,129,Action|Drama|History,7.7,18292.0,Captain Ashwat Raina's efforts to turn India into a nuclear state are at first met with criticism and then years later  with an offer from the government. With the help of Himanshu Shukla  the Prime Minister's principal secretary  he leads a team to conduct a second nuclear test series. The only major threat lurking is the American Lacrosse satellite which caught the first test preparations  further causing America to warn India about such future tests. With their patriotic hearts and unbreakable spirits  Ashwat and his team race against time to conduct the tests confidentially while the country's worsening political scenario as well as the presence of spies from US and Pakistan puts them into both mental as well as physical challenges.,Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test  where they face challenges from the American Lacrosse satellite and local spies.,1998| India: one secret operation| six Indians shocked the world| made India proud.,John Abraham|Boman Irani|Diana Penty|Anuja Sathe|Vikas Kumar|Yogendra Tiku|Aditya Hitkari|Ajay Shankar|Darshan Pandya|Mark Bennington|,,25 May 2018 (USA),2018,parmanu the story of pokhran,parmanu the story of pokhran,65.89 Cr
Azhar (film),tt4906984,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Azhar_Hindi_poster.jpg/220px-Azhar_Hindi_poster.jpg,https://en.wikipedia.org/wiki/Azhar_(film),Azhar,0,130,Biography|Drama|Sport,5.8,4887.0,Biographical sports drama based on the life of former Indian international cricketer  Mohammad Azharuddin,Biographical sports drama based on the life of former Indian international cricketer  Mohammad Azharuddin,Love him. Hate him. Judge him.,Emraan Hashmi|Nargis Fakhri|Prachi Desai|Lara Dutta|Kunaal Roy Kapur|Gautam Gulati|Sammy John Heaney|Mohit Chhabra|Anikie Maguire|Kulbhushan Kharbanda|Rajesh Sharma|Hemant Chaudhary|Shernaz Patel|Virendra Saxena|,,13 May 2016 (USA),2016,azhar,azhar,33.03 Cr
Sanju,tt6452574,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Sanju_poster.jpg/220px-Sanju_poster.jpg,https://en.wikipedia.org/wiki/Sanju,Sanju,0,155,Biography|Drama,7.8,42718.0,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends  he himself became a film star  and then saw dizzying heights and darkest depths: adulation of die-hard fans  unending battles with various addictions  brushes with the underworld  prison terms  loss of loved ones  and the haunting speculation that he might or might not be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career  jail sentence and personal life.,One Man . . . Many Lives,Ranbir Kapoor|Paresh Rawal|Manisha Koirala|Vicky Kaushal|Dia Mirza|Anushka Sharma|Sonam Kapoor|Jim Sarbh|Karishma Tanna|Boman Irani|Ashnoor Kaur|Siya|Tabu|Sayaji Shinde|,12 wins & 24 nominations,29 June 2018 (USA),2018,sanju,sanju,342.53 Cr
Ae Dil Hai Mushkil,tt4559006,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Ae_Dil_Hai_Mushkil.jpg/220px-Ae_Dil_Hai_Mushkil.jpg,https://en.wikipedia.org/wiki/Ae_Dil_Hai_Mushkil,Ae Dil Hai Mushkil,0,158,Drama|Music|Musical,5.8,18998.0,A story about unrequited love - the shapes it takes  the ways it changes us and the exhilarating and often heartbreaking ride it takes us on. It is the journey of three characters  Ayan  Alizeh and Saba  as their lives intertwine and they navigate life  love and heartbreak.,This story explores love - the shapes it takes  the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters  Alizeh and Ayan  as they navigate life  love and heartbreak.,,Ranbir Kapoor|Aishwarya Rai Bachchan|Anushka Sharma|Fawad Khan|Lisa Haydon|Imran Abbas|Pooja Mehta|Cru Fox|Jamil Ahmed|Phyl Cashman|Timea Gazdag|Yohan Contractor|Byron|Yolita|,14 wins & 11 nominations,28 October 2016 (USA),2016,ae dil hai mushkil,ae dil hai mushkil,112.48 Cr
Satyameva Jayate (2018 film),tt8202612,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Satyameva_Jayate_-_2018_Movie_Poster.jpg/220px-Satyameva_Jayate_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Satyameva_Jayate_(2018_film),Satyameva Jayate,0,140,Action|Thriller,5.6,5446.0,"There are about 2 Lakh policemen in Mumbai. Tasked with the safety of this enormous city  a majority of them don't necessarily have the ""cleanest"" of vardis. When four such police inspectors are burnt alive in a series of merciless killings  the entire police force is rocked with terror. The media is looking for answers. The public is on the fence over these killings. These crimes reflect Vir as a person. Bold  Calculating  and Unapologetic. He's not scared of killing  or dying. It was clear that he had an agenda. A reason. A drive; behind these deaths and he was far from done. Fearing the next attack  the Commissioner calls upon their best bet to catch Vir. DCP Shivansh is what a proper policeman looks like. Strong  Courageous  Patriotic and most importantly  ""Clean."" And of course  he's the best at what he does. What follows is a succession of events that will test his Probity to the fullest. He is up against Vir  who is a vigilante and will stop at nothing to complete his mission. ...",DCP Shivansh has been tasked to catch Vir  the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line  the law.,Beimaan pitega| corruption mitega!,John Abraham|Manoj Bajpayee|Aisha Sharma|Amruta Khanvilkar|Manish Chaudhary|Myrah Dandekar|Devdutta Nage|Nora Fatehi|,5 nominations,15 August 2018 (USA),2018,satyameva jayate,satyameva jayate,80.50 Cr
Agent Vinod (2012 film),tt1395025,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Agent_Vinod_2.jpg/220px-Agent_Vinod_2.jpg,https://en.wikipedia.org/wiki/Agent_Vinod_(2012_film),Agent Vinod,0,157,Action|Adventure|Thriller,5.1,6708.0,In Pakistan's Khyber Pakhtunkhua  RAW Agent Vinod (Saif Ali Khan) is rescued by colleague Rajan (Ravi Kishan) from a rogue Pakistani army officer (Shahbaz Khan). In Russia/Uzbekistan  an ex-KGB Officer is tortured and murdered. In Cape Town  a group of international business tycoons discusses a rumor that the dead KGB officer possessed a nuclear suitcase bomb. In Moscow  Rajan is exposed and shot dead while trying to send a Code Red message to India. In India  the head of RAW sees the incomplete message containing just number 242. Agent Vinod undertakes a globe-trotting secret mission to discover the reason why his colleague  Rajan  was murdered. A series of twists and turns take Vinod across the globe to Morocco and Latvia  Karachi to Delhi and finally London where he discovers the actual conspiracy.,A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.,,Kareena Kapoor|Saif Ali Khan|Gulshan Grover|Adil Hussain|Ravi Kishan|Rajat Kapoor|Prem Chopra|Ram Kapoor|Arif Zakaria|Zakir Hussain|Dhritiman Chatterjee|Shahbaaz Khan|Maryam Zakaria|Elena Kazan|,1 win & 6 nominations,23 March 2012 (USA),2012,agent vinod,agent vinod,43.29 Cr
Phillauri (film),tt5502766,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Phillauri_Film_Poster.jpg/220px-Phillauri_Film_Poster.jpg,https://en.wikipedia.org/wiki/Phillauri_(film),Phillauri,0,138,Comedy|Drama|Fantasy,6.1,3179.0,A young Mangalik boy is supposed to marry a tree if he wants to marry a girl of his choice while the tree which he gets married has Shashi a ghost residing on it waiting for her lover.Shashi starts to follow him everywhere after he marries the tree.,A man must marry a tree to ward off threats to his love-life  but the tree turns out to have more spirit than the man bargained for.,,Anushka Sharma|Diljit Dosanjh|Suraj Sharma|Mehreen Pirzada|Manav Vij|Salima Raza|Raza Murad|Abhishek Banerjee|Nidhi Bisht|Sunil Mehra|Suparna Marwah|Hobby Dhaliwal|Shabnam Vadhera|Hassan Saad|,1 nomination,24 March 2017 (USA),2017,phillauri,phillauri,27.1 Cr
Tumhari Sulu,tt6791730,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Tumhari_Sulu_-_Poster.jpg/220px-Tumhari_Sulu_-_Poster.jpg,https://en.wikipedia.org/wiki/Tumhari_Sulu,Tumhari Sulu,0,150,Comedy|Drama,7.0,4027.0,Vidya Balan (Sulochana a.k.a. Sulu) essays the role of a beautiful  enthusiastic and happy-go-lucky Mumbai housewife whose routine life changes when she unexpectedly lands herself with the exciting job of a night RJ (radio jockey) on a leading radio station.,Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.,,Vidya Balan|Manav Kaul|Neha Dhupia|Vijay Maurya|Malishka Mendonsa|Abhishek Sharrma|Mahesh Pillai|Sindhu Shekharan|Seema Taneja|Ajoy Chakraborty|Mandeep Kumar|Ayushmann Khurrana|Santanu Ghatak|Trupti Khamkar|,5 wins & 18 nominations,17 November 2017 (USA),2017,tumhari sulu,tumhari sulu,36.15 Cr
I Love Desi,tt4718678,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/I_Love_Desi_Theatrical_Poster.jpg/220px-I_Love_Desi_Theatrical_Poster.jpg,https://en.wikipedia.org/wiki/I_Love_Desi,I Love Desi,0,\N,Comedy|Romance,0.0,0.0,,Add a Plot »,,Shakti Anand|Arun Bali|Vedant Bali|Sunita Dhir|Gurpreet Ghuggi|Gulshan Grover|Mannat|Priyanka Shah|Karaan Singh|,,,2015,i love desi,i love desi,0.003 Cr
Dhoom 3,tt1833673,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Dhoom_3_Film_Poster.jpg/220px-Dhoom_3_Film_Poster.jpg,https://en.wikipedia.org/wiki/Dhoom_3,Dhoom:3,0,172,Action|Thriller,5.4,41052.0,The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief  Sahir (Aamir Khan)  who has the city of Chicago in his thrall. In this battle of revenge and dignity  the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.,When Sahir  a circus entertainer trained in magic and acrobatics  turns into a thief to take down a corrupt bank in Chicago that ruined his father  Indian officers Jai and Ali are called to catch him.,This year will end with a Dhoom,Aamir Khan|Abhishek Bachchan|Katrina Kaif|Uday Chopra|Jackie Shroff|Tabrett Bethell|Andrew Bicknell|Siddharth Nigam|Charles Rasmussen|Gavin Marshall|James Lamont|Girisha Nichani|Kapish Chawla|Kanishka Soni|,19 wins & 17 nominations,20 December 2013 (India),2013,dhoom3,dhoom 3,284.27 Cr
M.S. Dhoni: The Untold Story,tt4169250,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/M.S._Dhoni_-_The_Untold_Story_poster.jpg/220px-M.S._Dhoni_-_The_Untold_Story_poster.jpg,https://en.wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,M.S. Dhoni: The Untold Story,0,184,Biography|Drama|Sport,7.7,29352.0,Mahendra Singh Dhoni is a goalkeeper in school football team.Bannerjee a school cricket coach asks him to join his cricket team and practice daily with him for two hours time passes and he becomes a big state level cricketer but for a long time his luck doesn't favor him to become a member of Indian Cricket team.Dhoni takes up a job in Indian Railways as a ticket checker and plays cricket for the railways after long wait of 4 years he gets selected in Indian Cricket team and turns to be one of the best cricketing captains in history of Indian Cricket.,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,The man you know... The journey you don't.,Sushant Singh Rajput|Kiara Advani|Anupam Kher|Disha Patani|Bhoomika Chawla|Sanjay Dadich|Kali Prasad Mukherjee|Zeeshaan|Mithu Chakraborty|Kranti Prakash Jha|Ashrut Jain|Brijendra Kala|Mukesh Bhatt|Jitin Gulati|,6 wins & 11 nominations,30 September 2016 (USA),2016,ms dhoni the untold story,ms dhoni the untold story,133.04 Cr
Sons of Ram,tt2317103,https://upload.wikimedia.org/wikipedia/en/5/56/Sons_of_Ram.jpg,https://en.wikipedia.org/wiki/Sons_of_Ram,Sons of Ram,0,85,Animation|Drama|Musical,6.5,67.0,Surayavanshi Ram of Ayodhya  the greatest warrior king that ever lived  was forced to send his beloved wife Sita into exile  thus leading him and his kingdom to despair and towards an empty future. Unknown to Ram  far away in sage Valmiki's hermitage  Sita lives as Vandevi  raising their twin sons  Luv & Kush. Though not aware of their lineage  the twins imbibe wisdom  compassion & combat skills that would put any royal prince to shame. Sita teaches Luv -Kush to always work as a team  secretly hoping that her estranged family would find a way to come together one day. The twins must conquer their inner demons before they can achieve their destinies. Accompanied by a steadfast gang of lovable friends  Luv-Kush's journey takes them from enchanted forests with mythical creatures to the revered land of Ayodhya  the home of their fabled heroes.,Surayavanshi Ram of Ayodhya  the greatest warrior king that ever lived  was forced to send his beloved wife Sita into exile  thus leading him and his kingdom to despair and towards an empty...,The story of Luv & Kush like never before,Sunidhi Chauhan|Ettienne Couthino|Devansh Doshi|Saptharishi Ghosh|,,2 November 2012 (India),2012,sons of ram,sons of ram,0.19 Cr
Halkaa,tt8136908,,https://en.wikipedia.org/wiki/Halkaa,Halkaa,0,114,Drama|Family,7.2,271.0,Halkaa is a story of an eight-year-old boy Pichku who lives in the oldest slums of Delhi and aspires for a better life. It is a story of a child who against all odds strives to achieve his goal and becomes a hero in the making for his parents  slum  and society. This is the maiden production of Shiv Nadar Foundation in association with Akshay Kumar Parija and Nila Madhab Panda and Supratik Roy is the associate producer.,Halkaa (Relief) is a unique take on a slum child's heroism  aspirations and dreams. The child protagonist  Pichku fights for the basic problem that he faces everyday; defecating in the open among others.,,Paoli Dam|Vipin Katyal|Ranvir Shorey|Tathastu|,,7 September 2018 (India),2018,halkaa,halkaa,0.11 Cr
Bhaiaji Superhit,tt2150177,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Bhaiaji_Superhit_new_Poster.jpg/220px-Bhaiaji_Superhit_new_Poster.jpg,https://en.wikipedia.org/wiki/Bhaiaji_Superhit,Bhaiaji Superhit,0,139,Action|Comedy|Drama,4.1,465.0,A goon tries to win his wife back by making a movie on their love story.,A goon tries to win his wife back by making a movie on their love story.,,Sunny Deol|Preity Zinta|Arshad Warsi|Ameesha Patel|Shreyas Talpade|Jaideep Ahlawat|Sanjay Mishra|Brijendra Kala|Amit Mistry|Hemant Pandey|Mukul Dev|Pankaj Tripathi|Ranjeet|Ashmita Kaur Bakshi|,,23 November 2018 (India),2018,bhaiaji superhit,bhaiaji superhit,6.25 Cr
Jagga Jasoos,tt4129428,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/JaggaJasoosPoster.jpg/220px-JaggaJasoosPoster.jpg,https://en.wikipedia.org/wiki/Jagga_Jasoos,Jagga Jasoos,0,161,Action|Adventure|Comedy,6.4,8162.0,Jagga is an Orphan who gets adopted by Badal Bagchi whom he calls Tutti Futti both are having great time in their lives until Tutti Futti has to send Jagga to a boarding school and leave for a mission over the years the only contact he they have his video tapes sent by Tutti Futti on every birthday of Jagga.One day Jagga receives the sad news about the death of his father.Jagga's detective skills make him believe another story and he sets out to find his father with the help of a journalist Shruti.,Join Jagga  a gifted teenage detective  who along with a female companion  is on a quest to find his missing father.,,Ranbir Kapoor|Katrina Kaif|Saswata Chatterjee|Chitrak Bandyopadhyay|Sayani Gupta|Saravajeet Tiwari|Nawazuddin Siddiqui|Mir Sarwar|Jimmeey Sirole|Saurabh Shukla|Yulian Caesar|Sarika Singh|Bijou Thaangjam|Denzil Smith|,11 wins & 17 nominations,14 July 2017 (USA),2017,jagga jasoos,jagga jasoos,54.16 Cr
?: A Question Mark,tt2378057,,https://en.wikipedia.org/wiki/%3F:_A_Question_Mark,?: A Question Mark,0,82,Horror|Mystery|Thriller,5.5,285.0,A group of friends went to shoot their film project  but never returned. A few days later  their camera was found.,A group of friends went to shoot their film project  but never returned. A few days later  their camera was found.,,Kiran Bhatia|Yaman Chatwal|Maanvi Gagroo|Chirag Jain|Akhlaque Khan|Sonam Mukherjee|,1 win,17 February 2012 (India),2012,a question mark,a question mark,
Good Newwz,tt8504014,,https://en.wikipedia.org/wiki/Good_Newwz,Good Newwz,0,\N,Comedy|Drama|Romance,,,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,,Akshay Kumar|Kareena Kapoor|Kiara Advani|Tisca Chopra|Gulshan Grover|Diljit Dosanjh|Tanmay Dhanania|Anjana Sukhani|Yukta Mookhey|Auritra Ghosh|Preeti Kochar|,,,2019,good newwz,good newwz,205.14 Cr
